RESPONS_ID,CONTRIBUTR,WORLD_ID,WORLD_LAB,REGION_ID,REGION_LAB,TOT_AREA,LAND_AREA,RN_SITES,EXP_10000,EXP_08000,EXP_06000,EXP_04000,EXP_03000,EXP_02000,EXP_01000,EXP_00500,EXP_00250,EXP_00150,DQ_10000,DQ_08000,DQ_06000,DQ_04000,DQ_03000,DQ_02000,DQ_01000,DQ_00500,DQ_00250,DQ_00150,HUNT_10000,EXAG_10000,INAG_10000,PAST_10000,HUNT_08000,EXAG_08000,INAG_08000,PAST_08000,HUNT_06000,EXAG_06000,INAG_06000,PAST_06000,HUNT_04000,EXAG_04000,INAG_04000,PAST_04000,HUNT_03000,EXAG_03000,INAG_03000,PAST_03000,HUNT_02000,EXAG_02000,INAG_02000,PAST_02000,HUNT_01000,EXAG_01000,INAG_01000,PAST_01000,HUNT_00500,EXAG_00500,INAG_00500,PAST_00500,HUNT_00250,EXAG_00250,INAG_00250,PAST_00250,HUNT_00150,EXAG_00150,INAG_00150,PAST_00150,URBN_10000,URBN_08000,URBN_06000,URBN_04000,URBN_03000,URBN_02000,URBN_01000,URBN_00500,URBN_00250,URBN_00150
RDKUX,CMVGC,1,Northern North America + Greenland,5,British Columbia,943566,940882,250-499,High,High,High,High,High,High,High,High,Low,Low,Moderate,Moderate,Moderate,Good,Good,Good,Good,Good,Good,Good,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),minimal (<1%),none,none,widespread (>20%),common (1-20%),none,none,widespread (>20%),common (1-20%),none,none,widespread (>20%),common (1-20%),none,none,widespread (>20%),common (1-20%),none,none,widespread (>20%),common (1-20%),none,none,widespread (>20%),common (1-20%),common (1-20%),common (1-20%),Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present
RGVYA,CDASK,1,Northern North America + Greenland,5,British Columbia,943566,940882,250-499,High,High,High,High,High,High,High,High,Low,Low,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,common (1-20%),none,none,none,common (1-20%),none,none,none,common (1-20%),none,none,none,common (1-20%),minimal (<1%),none,none,common (1-20%),minimal (<1%),none,none,common (1-20%),minimal (<1%),none,none,common (1-20%),minimal (<1%),none,none,common (1-20%),minimal (<1%),none,none,common (1-20%),minimal (<1%),minimal (<1%),minimal (<1%),minimal (<1%),common (1-20%),common (1-20%),common (1-20%),Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present
RNYDJ,CYRBU,1,Northern North America + Greenland,5,British Columbia,943566,940882,500-999,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Moderate,Moderate,Moderate,Moderate,Good,Good,Good,Good,Good,Good,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),minimal (<1%),minimal (<1%),minimal (<1%),common (1-20%),common (1-20%),minimal (<1%),common (1-20%),Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present
RRLLR,CBSOY,1,Northern North America + Greenland,5,British Columbia,943566,940882,500-999,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Moderate,Moderate,Good,Good,Good,Good,Good,Good,Good,Good,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),minimal (<1%),none,none,widespread (>20%),minimal (<1%),none,none,widespread (>20%),minimal (<1%),none,none,widespread (>20%),minimal (<1%),none,none,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present
RUQLF,CMNXE,1,Northern North America + Greenland,5,British Columbia,943566,940882,250-499,High,High,High,High,High,High,High,High,High,High,Moderate,Moderate,Moderate,Good,Good,Good,Good,Good,Good,Good,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),minimal (<1%),none,minimal (<1%),Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
RVBZR,CHBZL,1,Northern North America + Greenland,5,British Columbia,943566,940882,500-999,Low,Low,High,High,High,High,High,High,High,High,Unknown,Unknown,Unknown,Moderate,Good,Good,Good,Good,Good,Good,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),minimal (<1%),none,none,widespread (>20%),common (1-20%),none,none,widespread (>20%),widespread (>20%),none,none,widespread (>20%),widespread (>20%),none,none,widespread (>20%),widespread (>20%),none,none,widespread (>20%),widespread (>20%),none,none,widespread (>20%),widespread (>20%),none,none,Absent,Absent,Absent,Present,Present,Present,Present,Present,Present,Present
RBAOS,CMLPW,1,Northern North America + Greenland,6,Alberta,662254,658381,> 1000,High,High,High,High,High,High,High,High,High,High,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,common (1-20%),widespread (>20%),minimal (<1%),minimal (<1%),widespread (>20%),Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
RIDLY,CYRBU,1,Northern North America + Greenland,6,Alberta,662254,658381,250-499,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),common (1-20%),common (1-20%),none,widespread (>20%),widespread (>20%),widespread (>20%),none,none,widespread (>20%),widespread (>20%),widespread (>20%),widespread (>20%),widespread (>20%),widespread (>20%),widespread (>20%),Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present
ROYLT,CMVGC,1,Northern North America + Greenland,6,Alberta,662254,658381,250-499,High,High,High,High,High,High,High,High,High,Low,Moderate,Good,Good,Good,Good,Good,Good,Good,Moderate,Moderate,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),minimal (<1%),minimal (<1%),minimal (<1%),Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
RTLGE,CIGSJ,1,Northern North America + Greenland,6,Alberta,662254,658381,> 1000,Low,Low,Low,High,High,High,High,Low,Low,Low,Moderate,Moderate,Moderate,Moderate,Good,Good,Good,Good,Good,Good,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,minimal (<1%),common (1-20%),common (1-20%),common (1-20%),widespread (>20%),Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present
REWLL,CYRBU,1,Northern North America + Greenland,7,Saskatchewan,649508,636873,50-249,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),common (1-20%),none,none,widespread (>20%),common (1-20%),common (1-20%),none,widespread (>20%),common (1-20%),common (1-20%),common (1-20%),common (1-20%),widespread (>20%),widespread (>20%),widespread (>20%),Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present
RLNRU,CMLPW,1,Northern North America + Greenland,7,Saskatchewan,649508,636873,500-999,High,High,High,High,High,High,High,High,High,High,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,minimal (<1%),widespread (>20%),minimal (<1%),none,widespread (>20%),Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
ROQTP,CMBHB,1,Northern North America + Greenland,7,Saskatchewan,649508,636873,50-249,Low,Low,High,High,High,High,High,High,High,High,Moderate,Moderate,Moderate,Moderate,Moderate,Good,Good,Good,Good,Good,common (1-20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),minimal (<1%),none,none,widespread (>20%),minimal (<1%),none,none,widespread (>20%),minimal (<1%),none,none,widespread (>20%),minimal (<1%),none,none,common (1-20%),common (1-20%),common (1-20%),common (1-20%),Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present
RRDPD,CMVGC,1,Northern North America + Greenland,7,Saskatchewan,649508,636873,250-499,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Moderate,Moderate,Good,Good,Good,Good,Good,Good,Good,Good,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),minimal (<1%),none,none,widespread (>20%),minimal (<1%),none,none,widespread (>20%),none,none,none,widespread (>20%),none,common (1-20%),common (1-20%),Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present
RCLHU,CYRBU,1,Northern North America + Greenland,8,Manitoba,651154,619006,50-249,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,common (1-20%),none,none,none,common (1-20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),common (1-20%),common (1-20%),none,widespread (>20%),common (1-20%),common (1-20%),none,widespread (>20%),common (1-20%),common (1-20%),common (1-20%),common (1-20%),widespread (>20%),common (1-20%),common (1-20%),Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present
RIONU,CMLPW,1,Northern North America + Greenland,8,Manitoba,651154,619006,250-499,High,High,High,High,High,High,High,High,High,High,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,common (1-20%),widespread (>20%),none,common (1-20%),common (1-20%),Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
RBMGI,CHBZL,1,Northern North America + Greenland,9,Ontario,1076370,1056950,> 1000,Low,High,High,High,High,High,High,High,High,High,Good,Good,Moderate,Moderate,Moderate,Good,Good,Good,Good,Good,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),common (1-20%),none,none,widespread (>20%),widespread (>20%),minimal (<1%),none,widespread (>20%),widespread (>20%),common (1-20%),none,widespread (>20%),widespread (>20%),common (1-20%),none,widespread (>20%),widespread (>20%),widespread (>20%),common (1-20%),Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Present,Present
RIXYX,CKYDD,1,Northern North America + Greenland,9,Ontario,1076370,1056950,500-999,High,High,High,High,High,High,High,High,High,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Good,Good,Good,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,minimal (<1%),none,widespread (>20%),minimal (<1%),none,none,widespread (>20%),minimal (<1%),minimal (<1%),none,widespread (>20%),minimal (<1%),minimal (<1%),minimal (<1%),widespread (>20%),minimal (<1%),common (1-20%),common (1-20%),Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present
ROTCM,COSUI,1,Northern North America + Greenland,9,Ontario,1076370,1056950,> 1000,High,High,High,High,High,High,High,Low,Low,Low,Moderate,Moderate,Moderate,Moderate,Moderate,Good,Good,Good,Good,Good,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),common (1-20%),minimal (<1%),none,widespread (>20%),minimal (<1%),common (1-20%),none,widespread (>20%),minimal (<1%),widespread (>20%),widespread (>20%),common (1-20%),minimal (<1%),widespread (>20%),widespread (>20%),Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present
RTPCV,CLKUO,1,Northern North America + Greenland,9,Ontario,1076370,1056950,500-999,None,None,None,Low,Low,Low,High,High,Low,Low,Moderate,Moderate,Moderate,Good,Good,Good,Good,Good,Good,Good,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),common (1-20%),none,none,widespread (>20%),widespread (>20%),none,none,widespread (>20%),widespread (>20%),widespread (>20%),none,widespread (>20%),widespread (>20%),widespread (>20%),none,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present
ROKEH,CQGRX,1,Northern North America + Greenland,10,Quebec,1502790,1483800,500-999,None,None,Low,Low,Low,Low,High,High,High,High,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),common (1-20%),none,none,widespread (>20%),widespread (>20%),none,none,widespread (>20%),widespread (>20%),common (1-20%),common (1-20%),widespread (>20%),common (1-20%),widespread (>20%),widespread (>20%),Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present
RTLZY,CKYDD,1,Northern North America + Greenland,10,Quebec,1502790,1483800,250-499,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),minimal (<1%),minimal (<1%),none,widespread (>20%),minimal (<1%),minimal (<1%),minimal (<1%),widespread (>20%),common (1-20%),common (1-20%),common (1-20%),Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present
RBPEC,CYRBU,1,Northern North America + Greenland,11,New Brunswick + Nova Scotia,133514,133169,50-249,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,common (1-20%),none,none,none,none,none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),minimal (<1%),none,minimal (<1%),common (1-20%),common (1-20%),common (1-20%),common (1-20%),Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present
RVWEN,CQGRX,1,Northern North America + Greenland,11,New Brunswick + Nova Scotia,133514,133169,50-249,None,Low,Low,Low,High,High,High,High,High,High,Unknown,Unknown,Unknown,Moderate,Moderate,Moderate,Good,Good,Good,Good,minimal (<1%),none,none,none,minimal (<1%),none,none,none,common (1-20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),minimal (<1%),none,none,widespread (>20%),minimal (<1%),none,none,widespread (>20%),minimal (<1%),common (1-20%),minimal (<1%),widespread (>20%),none,widespread (>20%),widespread (>20%),Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present
RDYRA,CHBZL,1,Northern North America + Greenland,12,Newfoundland + Labrador,402857,395760,250-499,Low,Low,Low,Low,Low,High,High,High,High,High,Good,Good,Moderate,Moderate,Moderate,Moderate,Good,Good,Good,Good,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),minimal (<1%),none,minimal (<1%),widespread (>20%),widespread (>20%),widespread (>20%),widespread (>20%),widespread (>20%),widespread (>20%),widespread (>20%),widespread (>20%),Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present
